"season","team","ppg"
"2022-23","Sacramento Kings","120.7"
"2020-21","Milwaukee Bucks","120.1"
"2022-23","Golden State Warriors","118.9"
"2020-21","Brooklyn Nets","118.6"
"2022-23","Atlanta Hawks","118.4"
"2022-23","Boston Celtics","117.9"
"2019-20","Houston Rockets","117.8"
"2022-23","Oklahoma City Thunder","117.5"
"2022-23","Los Angeles Lakers","117.2"
"2022-23","Utah Jazz","117.1"
"2019-20","Dallas Mavericks","117.0"
"2022-23","Memphis Grizzlies","116.9"
"2020-21","Washington Wizards","116.6"
"2022-23","Indiana Pacers","116.3"
"2019-20","Los Angeles Clippers","116.3"
"2020-21","Portland Trail Blazers","116.1"
"2022-23","New York Knicks","116.0"
"2021-22","Minnesota Timberwolves","115.9"
"2022-23","Denver Nuggets","115.8"
"2019-20","New Orleans Pelicans","115.8"
"2021-22","Charlotte Hornets","115.3"
"2020-21","Phoenix Suns","115.3"
"2018-19","Philadelphia 76ers","115.2"
"2022-23","Philadelphia 76ers","115.2"
"2018-19","Toronto Raptors","114.4"
"2019-20","San Antonio Spurs","114.1"
"2022-23","Chicago Bulls","113.1"
"2022-23","Cleveland Cavaliers","112.3"
"2019-20","Miami Heat","112.0"
"2022-23","Orlando Magic","111.4"
"2022-23","Detroit Pistons","110.3"
"2005-06","Seattle SuperSonics","102.6"
"2007-08","New Orleans Hornets","100.9"
"2008-09","New Jersey Nets","98.1"
"2007-08","Charlotte Bobcats","97.1"
"2006-07","New Orleans/Oklahoma City Hornets","95.5"
"2000-01","Vancouver Grizzlies","91.7"
