"season","champion","regular_season_wins"
"2011-12","Miami Heat",46
"2020-21","Milwaukee Bucks",46
"2019-20","Los Angeles Lakers",52
"2005-06","Miami Heat",52
"2022-23","Denver Nuggets",53
"2021-22","Golden State Warriors",53
"2003-04","Detroit Pistons",54
"2000-01","Los Angeles Lakers",56
"2010-11","Dallas Mavericks",57
"2015-16","Cleveland Cavaliers",57
"2009-10","Los Angeles Lakers",57
"2018-19","Toronto Raptors",58
"2017-18","Golden State Warriors",58
"2001-02","Los Angeles Lakers",58
"2006-07","San Antonio Spurs",58
"2004-05","San Antonio Spurs",59
"2002-03","San Antonio Spurs",60
"2013-14","San Antonio Spurs",62
"2008-09","Los Angeles Lakers",65
"2007-08","Boston Celtics",66
"2012-13","Miami Heat",66
"2014-15","Golden State Warriors",67
"2016-17","Golden State Warriors",67
