"team","wins_per_season"
"San Antonio Spurs","52.3"
"Dallas Mavericks","48.0"
"Boston Celtics","45.3"
"Miami Heat","44.7"
"Oklahoma City Thunder","44.5"
"Utah Jazz","44.0"
"Denver Nuggets","43.5"
"Houston Rockets","43.3"
"Los Angeles Lakers","43.3"
"Phoenix Suns","41.7"
"Indiana Pacers","41.7"
"Golden State Warriors","41.6"
"Portland Trail Blazers","41.4"
"Toronto Raptors","40.7"
"Los Angeles Clippers","40.7"
"Milwaukee Bucks","40.4"
"Memphis Grizzlies","39.5"
"Philadelphia 76ers","38.7"
"Cleveland Cavaliers","38.6"
"New Orleans/Oklahoma City Hornets","38.5"
"Seattle SuperSonics","38.0"
"New Orleans Hornets","38.0"
"Chicago Bulls","37.7"
"Detroit Pistons","37.7"
"Brooklyn Nets","37.6"
"Atlanta Hawks","36.6"
"Sacramento Kings","36.5"
"New Orleans Pelicans","36.3"
"Orlando Magic","36.1"
"New Jersey Nets","36.0"
"Charlotte Hornets","35.3"
"Washington Wizards","34.3"
"Minnesota Timberwolves","33.9"
"New York Knicks","33.4"
"Charlotte Bobcats","29.3"
"Vancouver Grizzlies","23.0"
